36,정신보건의 이해와 실천패러다임,https://bookthumb-phinf.pstatic.net/cover/025/156/02515644.jpg?type=m1&udate=20091224,이용표,20000,EM커뮤니티,2006-08-28,5,사회융합자율학부,정신보건사회복지론,서진환
37,미시경제학,https://image.aladin.co.kr/product/17761/15/cover500/k682534224_1.jpg,이준구,37000,문우사,2019-02-11,5,사회융합자율학부,미시경제학,신현준
38,경제경영수학 (예제로 접근하는),https://image.aladin.co.kr/product/12313/19/cover500/k612531155_1.jpg,Edward T. Dowling,31000,지필미디어,2017-10-30,5,사회융합자율학부,경제수학,임동민
39,한국경제통사(9판),https://image.aladin.co.kr/product/26618/33/cover500/8962381524_1.jpg,이헌창,30000,해남,2021-02-28,5,사회융합자율학부,한국경제사,이상철
40,민주주의의 수수께끼 (Setting the People Free : The Story of Democracy),https://image.aladin.co.kr/product/5342/7/cover500/8964372239_1.jpg,존 던,18000,후마니타스,2015-02-23,5,사회융합자율학부,민주주의론,문지영
41,마케팅 입문,https://image.aladin.co.kr/product/18146/98/cover500/894200895x_1.jpg,Gary Armstrong,38000,경문사,2019-01-31,5,사회융합자율학부,마케팅,이상훈
42,소비자행동론,https://image.aladin.co.kr/product/20672/53/cover500/k492636360_1.jpg,김규배|김동태|김문섭|김용철|김한구|김혜주|서준용|양수진|이경미|한웅희,20000,박영사,2019-09-10,5,사회융합자율학부,소비자행동및소비자트랜드분석,이상훈
43,서양사 강의,https://image.aladin.co.kr/product/20491/74/cover500/8946066938_1.jpg,배영수,28000,한울아카데미,2011-08-20,5,교양,서양사의 이해,최재호
44,"토마토 토익 BASIC RC (2018 토마토 토익 , 토익이 쉬워지는)",https://image.aladin.co.kr/product/14968/43/cover500/k682533965_1.jpg,능률영어교육연구소|이미영|한윤희|이경화|이은비,16000,NE능률(능률교육),2018-06-15,5,교양,실용영어(TOEIC) I,오세풍
45,"텍스트, 하이퍼텍스트, 하이퍼미디어 (디지털 시대의 새로운 문예학)",https://image.aladin.co.kr/product/10308/58/cover500/895464449x_1.jpg,유현주,12000,문학동네,2017-02-17,5,교양,디지털과스토리텔링,유승호
46,단박에 한국사 현대편 (역사 무식자도 쉽게 맥을 잡는),https://image.aladin.co.kr/product/11380/17/cover500/k742532863_2.jpg,심용환,19800,위즈덤하우스,2017-12-06,5,교양,헌법과 한국현대사,심용환
47,현대 철학의 거장들,https://image.aladin.co.kr/product/1931/54/cover500/8961471678_1.jpg,박찬국,16000,이학사,2012-09-10,5,교양,철학이란 무엇인가?,김시형
48,흔들리는 20대의 사진일기,https://image.aladin.co.kr/product/10727/4/cover500/k172530755_1.jpg,유요섭,10800,BOOKK(부크크),2017-02-24,5,교양,20대의 심리,이주협
49,오늘의 세계 분쟁(개정판 2판) (국제 분쟁 전문가 김재명의 전선 리포트),https://image.aladin.co.kr/product/26611/66/cover500/k132739937_1.jpg,김재명,22800,미지북스,2021-03-05,5,교양,국제질서의 이해,김재명
50,이지상 사람을 노래하다,https://image.aladin.co.kr/product/662/94/cover500/8964360087_1.jpg,이지상,12000,삼인,2010-03-17,5,교양,노래로 보는 한국사회,이기형
51,필란트로피의 이해와 실천,https://image.aladin.co.kr/product/6448/98/cover500/k062433149_1.jpg,BEKAY AHN,25000,한국기부문화연구소,2015-08-10,5,교양,필란트로피의 이해와 실천,김현수
52,사회적 기업가를 위한 디자인 접근법,https://image.aladin.co.kr/product/5454/10/cover500/6000820429_1.jpg,박재환|전혜진,11000,에딧더월드,2015-02-27,5,교양,디자인씽킹 프로젝트,염준규
53,야누스의 과학 (20세기 과학기술의 사회사),https://image.aladin.co.kr/product/286/24/cover500/8958283254_1.jpg,김명진,14500,사계절,2008-11-28,5,교양,과학기술과 사회,김병수
54,이산수학 (컴퓨팅 사고력을 키우는),https://image.aladin.co.kr/product/10060/76/cover500/k042536874_1.jpg,박주미,25000,한빛아카데미,2017-01-14,5,교양,이산수학,윤명호
55,어쩌면 가장 위험한 이야기,https://image.aladin.co.kr/product/22068/3/cover500/8993690685_1.jpg,박병상,16000,이상북스,2019-12-10,5,교양,기후 변화의 이해,박병상
56,"빅뱅에서 인간까지 (우주, 생명, 문명)",https://image.aladin.co.kr/product/12253/66/cover500/8936811096_2.jpg,마그나 히스토리아 연구회,20000,청아출판사,2017-11-10,5,교양,빅뱅에서 인간까지,김강배
